,wer,cer,utmos
fixed_280-128_dedup,89.398,69.59,3.816
fixed_280-256_dedup,83.657,65.155,3.813
fixed_280-512_dedup,78.89,61.528,3.965
fixed_280-1024_dedup,68.525,55.279,3.987
fixed_280-2048_dedup,65.014,52.229,4.005
fixed_280-4096_dedup,66.817,54.169,3.924
fixed_280-8192_dedup,74.549,59.434,3.683
fixed_280-16384_dedup,83.183,65.66,3.644
fixed_240-128_dedup,85.863,64.704,3.799
fixed_240-256_dedup,76.494,57.755,3.927
fixed_240-512_dedup,63.994,48.594,3.972
fixed_240-1024_dedup,54.222,42.31,4.083
fixed_240-2048_dedup,49.478,39.444,4.092
fixed_240-4096_dedup,51.091,41.017,4.028
fixed_240-8192_dedup,56.546,44.557,4.024
fixed_240-16384_dedup,75.095,57.265,3.757
fixed_200-128_dedup,70.802,49.026,4.005
fixed_200-256_dedup,57.875,40.814,4.062
fixed_200-512_dedup,42.078,29.465,4.072
fixed_200-1024_dedup,33.657,24.494,4.048
fixed_200-2048_dedup,29.696,22.389,4.106
fixed_200-4096_dedup,29.056,21.88,4.052
fixed_200-8192_dedup,40.038,28.661,3.931
fixed_200-16384_dedup,54.768,38.606,3.681
fixed_160-128_dedup,45.683,25.73,4.051
fixed_160-256_dedup,22.367,11.652,4.153
fixed_160-512_dedup,14.279,7.11,4.122
fixed_160-1024_dedup,9.559,4.645,4.167
fixed_160-2048_dedup,8.207,4.003,4.158
fixed_160-4096_dedup,6.784,3.333,4.105
fixed_160-8192_dedup,10.081,5.097,4.103
fixed_160-16384_dedup,23.221,12.582,3.926
fixed_120-128_dedup,21.845,11.453,4.125
fixed_120-256_dedup,9.962,4.737,4.152
fixed_120-512_dedup,6.57,3.054,4.13
fixed_120-1024_dedup,3.368,1.511,4.163
fixed_120-2048_dedup,2.728,1.194,4.122
fixed_120-4096_dedup,2.894,1.309,4.148
fixed_120-8192_dedup,3.178,1.443,4.116
fixed_120-16384_dedup,9.654,4.994,3.896
fixed_80-128_dedup,7.068,3.241,4.154
fixed_80-256_dedup,3.012,1.263,4.192
fixed_80-512_dedup,2.158,0.827,4.229
fixed_80-1024_dedup,1.874,0.723,4.185
fixed_80-2048_dedup,1.399,0.582,4.089
fixed_80-4096_dedup,1.755,0.685,4.095
fixed_80-8192_dedup,1.186,0.432,4.096
fixed_80-16384_dedup,17.291,10.776,3.591
fixed_40-128_dedup,13.33,7.01,3.848
fixed_40-256_dedup,1.826,0.964,4.186
fixed_40-512_dedup,0.949,0.356,4.194
fixed_40-1024_dedup,1.921,0.739,4.084
fixed_40-2048_dedup,1.044,0.36,4.177
fixed_40-4096_dedup,0.949,0.344,4.066
fixed_40-8192_dedup,1.755,0.945,3.846
fixed_40-16384_dedup,97.37,90.342,2.385
fixed_20-128_dedup,1.779,0.719,4.211
fixed_20-256_dedup,1.091,0.452,4.202
fixed_20-512_dedup,0.806,0.31,4.151
fixed_20-1024_dedup,1.423,0.677,4.113
fixed_20-2048_dedup,1.044,0.417,4.172
fixed_20-4096_dedup,1.044,0.379,4.116
fixed_20-8192_dedup,66.248,47.029,3.08
fixed_20-16384_dedup,98.363,87.388,2.332
